Image,Creation Date/Time,Software Used,Date Modified
Sp_D_CND_A_pla0005_pla0023_0281.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CND_A_sec0056_sec0015_0282.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_ani0049_ani0084_0266.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_ani0053_ani0054_0267.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_art0024_ani0032_0268.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_cha0025_pla0067_0269.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_nat0014_nat0017_0097.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_nat0071_ani0024_0270.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_nat0085_ani0027_0271.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_pla0030_pla0061_0272.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_pla0070_pla0073_0273.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_pla0079_pla0049_0274.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_sec0012_ani0007_0275.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_A_sec0041_pla0037_0098.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_C_ani0068_ani0045_0099.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_R_art0006_art0087_0276.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_R_art0017_art0090_0277.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_R_art0027_art0066_0100.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_R_art0044_art0018_0278.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CNN_R_sec0018_sec0004_0101.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_ani0036_ani0066_0372.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_ani0043_ani0041_0373.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_ani0092_ani0052_0374.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_arc0009_ani0048_0375.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_arc0023_arc0003_0376.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_arc0024_ani0031_0265.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_arc0064_cha0053_0377.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_arc0082_ani0076_0378.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_art0042_sec0086_0379.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_art0075_art0019_0279.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_art0093_art0013_0380.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_cha0073_ani0090_0381.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_cha0077_pla0022_0382.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_nat0013_cha0086_0383.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_nat0014_art0048_0384.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
Sp_D_CRN_A_nat0033_obj0059_0385.jpg,None,Adobe Photoshop CS2 Windows,2019-10-08 02:36:08
